"","LASSO","Ridge","Elastic","Unpenalized","sparsity","prop_small","num_obs"
"7607",0.960087094147909,0.96045617797204,0.960087094147909,1.04775335165882,0.5,1,1600
"7608",1.00155727480814,1.00356649513835,1.00155727480814,1.08787476287947,0.5,1,1600
"7609",0.92504541551984,0.925847917041772,0.924923516974757,0.992719923602764,0.5,1,1600
"7610",1.04185518642441,1.04229271055576,1.04185518642441,1.10628908931264,0.5,1,1600
"7611",0.977942596332659,0.977842979250713,0.977942596332659,1.04194466847947,0.5,1,1600
"7612",1.03922130998982,1.03984911037076,1.03922130998982,1.11534689814557,0.5,1,1600
"7613",1.04447937198857,1.04375866692292,1.0430814612692,1.11463272024862,0.5,1,1600
"7614",0.961881329962972,0.962981828568246,0.961881329962972,1.04468022938101,0.5,1,1600
"7615",0.942649721889734,0.944538906538726,0.944890351110637,0.967849144006285,0.5,1,1600
"7616",1.00143808583438,1.00185964272131,1.00143808583438,1.06752510506738,0.5,1,1600
"7617",0.953814581726741,0.953680840812382,0.953814581726741,1.01101376916466,0.5,1,1600
"7618",1.05552165992058,1.05605214685213,1.05552165992058,1.15380184395951,0.5,1,1600
"7619",0.975534962249497,0.975868662674705,0.982997937552012,1.05525986956651,0.5,1,1600
"7620",1.01395813044974,1.01380313951462,1.01395813044974,1.06535919655284,0.5,1,1600
"7621",0.96540274846614,0.965993108069637,0.965682448536578,1.04157276730275,0.5,1,1600
"7622",1.02799684642374,1.02402921882156,1.03584586079411,1.10658733835435,0.5,1,1600
"7623",0.955437147789488,0.95066184569116,0.955103018643742,1.01749231864507,0.5,1,1600
"7624",1.01710954969863,1.01755432021809,1.01710954969863,1.10810075174164,0.5,1,1600
"7625",0.973769261169565,0.973820256658548,0.973755739392698,1.0298437130151,0.5,1,1600
"7626",0.980794156254271,0.980909420761743,0.980786753923391,1.04626596388835,0.5,1,1600
"7627",0.967115675959396,0.966933092071274,0.967115675959396,1.03315797710561,0.5,1,1600
"7628",1.05152579749806,1.0510856450165,1.05148521425859,1.10667588668907,0.5,1,1600
"7629",0.951501062030887,0.951519323242076,0.951501062030887,1.01352174223697,0.5,1,1600
"7630",1.0627892811373,1.06282790840878,1.0627892811373,1.12008117827802,0.5,1,1600
"7631",0.92554027551533,0.926021285385684,0.92554027551533,1.00626619847119,0.5,1,1600
"7632",0.989650241633495,0.989268112441007,0.989495235112957,1.03141795421216,0.5,1,1600
"7633",1.04772125144919,1.04768622086064,1.04772125144919,1.11799322159766,0.5,1,1600
"7634",0.981680967332388,0.987351801045518,0.98172212145387,1.04397528912805,0.5,1,1600
"7635",0.983244253743272,0.983444318562647,0.983244253743272,1.05182890699847,0.5,1,1600
"7636",0.970602624690098,0.971023566331964,0.970602624690098,1.05548979147061,0.5,1,1600
